	Data_Source	Review_Date	Sentiment	Geography	Product	Review	Keywords	Aspect	Product_Family	Title	Sentiment_Score	Review_Count
0	BestBuy	3/1/2024 0:00	Positive	US	Windows 11 (Preinstall)	the surface be an incredible device.		Generic	Microsoft Surface Pro 9 13		1	1.0
1	BestBuy	3/4/2024 0:00	Positive	US	Windows 11 (Preinstall)	Crisp new Pro.		Generic	Microsoft Surface Pro 9 13		1	1.0
2	BestBuy	3/15/2024 0:00	Positive	US	Windows 11 (Preinstall)	love the flexibility of the the surface.		Generic	Microsoft Surface Pro 9 13		1	1.0
3	BestBuy	3/4/2024 0:00	Positive	US	Windows 11 (Preinstall)	Microsoft Surface be a good laptop.		Generic	Microsoft Surface Pro 7 Plus 12		1	1.0
4	BestBuy	3/9/2024 0:00	Positive	US	Windows 11 (Preinstall)	love my new surface pro.		Generic	Microsoft Surface Pro 7 Plus 12		1	1.0
5	BestBuy	2/3/2024 0:00	Positive	US	Windows 11 (Preinstall)	I really enjoy the Surface Pros.		Generic	Microsoft Surface Pro 9 13		1	1.0
6	BestBuy	2/3/2024 0:00	Positive	US	Windows 11 (Preinstall)	I love my new surface.		Generic	Microsoft Surface Pro 9 13		1	1.0
7	BestBuy	2/17/2024 0:00	Positive	US	Windows 11 (Preinstall)	there be so many thing I like about the Surface Pro.		Generic	Microsoft Surface Pro 9 13		1	1.0
8	BestBuy	2/2/2024 0:00	Positive	US	Windows 11 (Preinstall)	the surface pro be really good.		Generic	Microsoft Surface Pro 7 Plus 12		1	1.0
9	BestBuy	2/24/2024 0:00	Positive	US	Windows 11 (Preinstall)	love my new Surface.		Generic	Microsoft Surface Pro 7 Plus 12		1	1.0
10	BestBuy	3/15/2024 0:00	Neutral	US	Windows 11 (Preinstall)	I be like the new surface pro.		Generic	Microsoft Surface Pro 9 13		0	1.0
11	BestBuy	2/16/2024 0:00	Neutral	US	Windows 11 (Preinstall)	this be my second Surface Pro.		Generic	Microsoft Surface Pro 9 13		0	1.0
12	BestBuy	2/24/2024 0:00	Neutral	US	Windows 11 (Preinstall)	this be my 3rd Surface.		Generic	Microsoft Surface Pro 9 13		0	1.0
13	BestBuy	2/23/2024 0:00	Positive	US	Windows 11 (Preinstall)	"""this be my second Microsoft surface pro and I absolutely love it work awesome, my first one be 11 year old and still work great."""		Generic	Microsoft Surface Pro 9 13		1	1.0
14	BestBuy	2/23/2024 0:00	Positive	US	Windows 11 (Preinstall)	the Surface Pro work as well as regular laptop and very portable.		Generic	Microsoft Surface Pro 9 13		1	1.0
15	BestBuy	2/24/2024 0:00	Positive	US	Windows 11 (Preinstall)	I like that I can bring this surface pro at work and do leisure thing at the same time.		Generic	Microsoft Surface Pro 9 13		1	1.0
