Month,Country,OEMGROUP,SUBFORMFACTOR,GAMINGPRODUCTS,SCREEN_SIZE_INCHES,CPU_GROUP,CPU_MODEL,GPU_MODEL,CPU Ram,STORAGE_TYPE,SSD Capacity GB,PRICE_BRAND_USD_3,OS_VERSION,Operating_System_Summary,Sales_Units,Sales_Value,Series
2023-01-06,Turkey,Lenovo,Ultraslim Notebook,NO GAMING,15.6,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Windows 11,Windows OS,2.0,1246.12,V15
2023-01-05,India,Lenovo,Ultraslim Notebook,NO GAMING,15.6,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Windows 11,Windows OS,2.0,1366.081,V15
2023-01-09,Brazil,Lenovo,Ultraslim Notebook,NO GAMING,15.6,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,800+,Windows 11,Windows OS,2.0,1910.236,V15
2023-01-04,Germany,Acer,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1208.74,CHROMEBOOK
2023-01-01,Philippines,Acer,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1289.086,CHROMEBOOK
2023-01-05,France,Asus,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1324.116,ASUS CHROMEBOOK
2023-01-08,Netherlands,HP,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1391.524,HP CHROMEBOOK
2023-01-04,Spain,Asus,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1440.523,ASUS CHROMEBOOK
2023-01-02,United Arab Emirates,HP,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1450.459,HP CHROMEBOOK
2023-01-04,France,Asus,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1494.678,ASUS CHROMEBOOK
2023-01-06,Spain,Asus,Ultraslim Notebook,NO GAMING,14.0,CORE I5,CORE I5 I5-1135G7,INTEL IRIS XE,8192,SSD,256,500-800,Chrome,Google OS,2.0,1496.629,ASUS CHROMEBOOK
